不如相忘于江湖	gvsi
不如学也	gvib
不如因善遇之	gvlp
不如友生	gvdt
不如早还家	gvjp
不如早还乡	gvjx
不入则止	gtmh
不如诸夏之无也	gvyb
不如子之衣	gvby
不如坐进此道	gvwu
不若相忘于江湖	gasi
不若与人	gagw
不若与众	gagw
不洒离别间	giyu
不善不能改	gugn
不善人者	guwf
不善人之师	guwj
不上不下	ghgg
不舍昼夜	gwny
不胜清怨却飞来	geig
不是宸游玩物华	gjpw
不是花中偏爱菊	gjaa
不是路	gjkh
不恃其成	gnad
不失其所者久	graq
不失其性命之情	gran
不是人间富贵花	gjwa
不使胜食气	gwer
不食五谷	gwgw
不仕无义	gwfy
不是杨花	gjsa
不是一人能领导	gjgn
不识有诸	gydy
不食之矣	gwpc
不狩不猎	gqgq
不似春光	gwdi
不死何俟	ggww
不俟驾行矣	gwlc
不思旧姻	glhv
不思其反	glar
不似颍川空使酒	gwxi
不素餐兮	gghw
卜算子慢	htbn
不随以止也	gbnb
不体认	gwyw
不脱蓑衣卧月明	geaj
不忘其所始	gyav
不亡以待尽	gynn
不为爱人	gyew
不为不多矣	gygc
不为登高	gywy
不为而成	gydd
不为福先	gypt
不为功名	gyaq
不为酒困	gyil
不为离人照屋梁	gyyi
不违农时	gfpj
不违如愚	gfvj
不为社者	gypf
不闻先王之遗言	guty
不我过	gtfp
不我活兮	gtiw
不我遐弃	gtny
不我信兮	gtww
不我以	gtny
不我以归	gtnj
不我与	gtgn
不吾知也	ggtb
不息恶木枝	gtgs
不惜珊瑚持与人	gngw
不习水土	gnif
不瑕有害	ggdp
不贤者识其小者	gjff
不向东山久	gtaq
不相见	gsmq
不向空门何处销	gtpq
不降其志	gbaf
不相为谋	gsyy
不相与为谋	gsgy
不祥之器	gppk
不笑不足以为道	gtgu
不信比来长下泪	gwxi
不信道	gwut
不信妾肠断	gwuo
不幸短命死矣	gftc
步行夺得胡马骑	htdc
不幸牺牲	gftt
不徐不疾	gtgu
不须惆怅怨芳时	genj
步虚词	hhyn
不须放屁	geyn
不须怀抱重凄凄	genu
步虚声	hhfn
不虚心	ghny
不学燕丹客	giap
不要这多雪	gsyf
不要这高	gsyy
不夜月临关	gyeu
不亦悲乎	gydt
不以兵车	gnrl
不以兵强天下	gnrg
不亿不信	gwgw
不以辞害志	gntf
不易得也	gjtb
不义而富且贵	gydk
不以规矩	gnft
不亦过乎	gyft
不亦可乎	gyst
不以礼节之	gnpp
不疑灵境难闻见	gxvm
不亦难乎	gyct
不以其道得之	gnap
不以人废言	gnwy
不以仁政	gnwg
不以人助天	gnwg
不以三隅反	gndr
不亦善乎	gyut
不亦甚乎	gyat
怖亦死	nygq
不以文害辞	gnyt
不亦宜乎	gypt
不宜有怒	gpdv
不以智治国	gntl
不饮盗泉水	gqui
不应回首	gylu
不盈顷筐	gext
不用登临恨落晖	gewj
不有博弈者乎	gdft
不忧不惧	gngn
不有雨兼风	gdfm
卜玉郎	hgyv
不与泥同调	ggiy
不与秦塞通人烟	ggdo
不与我食兮	ggtw
不与我言兮	ggtw
不与物交	ggtu
不欲以静	gwng
不与之为谋	ggpy
不远千里而来	gftg
步月	hiee
不曰白乎	gjrt
不曰坚乎	gjjt
不在其位	gdaw
不在颛臾	gdmv
不占而已矣	ghdc
不忮不求	gngf
不知答也	gttb
不知道也	gtub
不知地之厚也	gtfb
不知东方之既白	gtar
不知东走迷	gtao
不知端倪	gtuw
不知何处吊湘君	gtwv
不知何处归	gtwj
不知何处是他乡	gtwx
不知何道士	gtwf
不知几何时	gtmj
不知今夕是何年	gtwr
不知命也	gtwb
不知其不胜任也	gtab
不知其几千里也	gtab
不知其尽也	gtab
不知其期	gtaa
不知其仁	gtaw
不知其人可乎	gtat
不知其仁也	gtab
不知其所	gtar
不知墙外是谁家	gtfp
不知秋思在谁家	gttp
不知身世自悠悠	gttw
不知谁家子	gtyb
不知说生	gtyt
不知所以裁之	gtrp
不治天下	gigg
不知天之高也	gtgb
不知恶死	gtgg
不知西东	gtsa
不知香积寺	gttf
不知心恨谁	gtny
不知学问之大也	gtib
不知有之	gtdp
不知园里树	gtls
不知元是此花身	gtft
不知云与我俱东	gtfa
不知周也	gtmb
不周山下红旗乱	gmmt
不主故常	gydi
不庄以莅之	gynp
不自得而得彼者	gttf
不自著罗衣	gtay
不足多也	gkqb
不足以取天下	gkng
不足以为士矣	gknc
不足迎后人	gkqw
采柏动盈掬	esfr
采采芣苡	eeaa
采采衣服	eeye
采蘩	esat
采蘩祁祁	eapp
采葑采菲	eaea
彩凤飞	emnu
裁缝寄远道	fxpu
蔡孚	aweb
采芙蓉	eaap
采葛	esaj
蔡瑰	awgr
才见岭头云似盖	fmmu
蔡戡	awad
才可容颜十五馀	fspq
采苦采苦	eaea
蔡昆	awjx
采莲从小惯	eawn
采莲归	eajv
采莲花	eaaw
采莲女	eavv
采莲舟	eate
采莲子	eabb
采苓	esaw
彩鸾空自舞	eypr
采明珠	ejgr
材木不可胜用	ssge
材木不可胜用也	ssgb
才能不及中人	fcgw
蔡女昔造胡笳声	avaf
采苹	esag
采芑	esan
蔡确	awdq
采桑绿水边	ecxl
采桑子重阳	ecbb
采山因买斧	emlw
采荼薪樗	eaas
采薇采薇	eaea
蔡文恭	ayaw
财物无所取	mtfb
才饮长江水	fqti
材与不材之间	sggu
蔡允恭	acaw
残杯与冷炙	gsgq
蚕丛及鱼凫	gweq
残灯无焰影幢幢	gofm
残花落尽见流莺	gaaa
蚕饥妾欲去	gquf
蚕眠桑叶稀	ghct
残宵犹得梦依稀	gpqt
残星拂大旗	gjry
残雪乱山中	gftk
残阳如血	gbvt
残阳西入崦	gbsm
残夜水明楼	gyis
残莺何事不知秋	gawt
残萤栖玉露	gasf
残月几人行	gemt
残月落花烟重	geat
残月下寒沙	gegi
残月下章台	gegc
残云归太华	gfjw
残云收夏暑	gfnj
残贼之人	gmpw
残钟广陵树	gqys
残妆和泪污红绡	gutx
苍苍横翠微	aast
仓庚喈喈	wykk
沧海成桑田	iidl
沧海得壮士	iitf
沧海横流	iisi
沧海横流安足虑	iish
沧海月明珠有泪	iiei
沧江好烟月	iive
沧江急夜流	iiqi
沧浪亭记	iiyy
沧浪之水清兮	iipw
沧浪之水浊兮	iipw
苍茫对落晖	aacj
苍茫古木连穷巷	aada
苍茫云海间	aafu
苍然满关中	aqik
苍山夹乱流	amgi
苍山如海	amvi
藏书万卷可教子	andb
苍天苍天	agag
苍梧山崩湘水绝	asmx
苍梧谣	asye
苍崖渺难涉	amii
苍鹰画作殊	aygg
苍蝇之声	ajpf
藏之名山	apqm
曹豳	gmee
草不谢荣于春风	agym
草草杯盘供笑语	aasy
草创未就	awfy
曹风	gmmq
草夫人	afww
草绿长门掩	axtr
草绿湖南万里情	axin
草木畅茂	asja
草木茂萌芽	asaa
草木有本心	asdn
草铺横野六七里	aqsj
草如茵	aval
草色青青柳色黄	aqga
草色新雨中	aquk
草上之风	ahpm
草尚之风必偃	aipw
曹生	gmtg
草市迎江货	ayqw
草书歌行	anst
曹松	gmsw
曹唐	gmyv
曹文姬	gyva
草屋八九间	anwu
曹邺	gmog
曹遇	gmjm
曹宰	gmpu
曹著	gmaf
侧犯	wmqt
侧见双翠鸟	wmcq
侧目似愁胡	whwd
侧身西望常咨嗟	wtsk
侧身西望长咨嗟	wtsk
恻隐之心	nbpn
参差连曲陌	culb
岑夫子	mfbb
岑夫子丹丘生	mfbt
岑羲	mwug
层冰积雪摧残	nutg
曾冰延乐方	uuty
曾不容刀	ugpv
层城四望开	nflg
曾诞	ulyt
曾到尚书墓上来	ugig
曾觌	ulfn
曾栋	ulsa
曾记否	uygi
曾将秋竹竿	uutt
曾经学舞度芳年	uxir
曾开国	uglg
曾苦伤春不忍听	uawk
曾揆	ulrw
曾隶	ulvi
层林尽染	nsni
曾驱十万师	ucfj
